Gene	TAP0	TAPHL15	TAPHL120	TP0	TP15	TP120	TPHL15	TPHL120
g4673.t1	22.859	10.0826	24.6837	92.0266	8.80128	9.24996	82.6797	6.68299
g9612.t1	9.99671	5.30912	9.17564	9.65005	12.159	8.83004	4.17625	14.9207
g676.t1	18.8925	10.032	14.2053	28.2943	21.7519	12.5639	60.351	34.6845
g5941.t1	17.8088	9.45369	7.89109	14.0244	6.27525	18.3262	2.4512	11.9309
g9231.t1	12.449	6.60819	3.72907	8.7969	16.948	14.034	2.88139	1.40775
g10425.t1	9.7607	5.1811	6.99314	5.10612	7.7734	17.7847	2.47685	3.56234
g8320.t1	5.43866	2.88614	9.54258	7.54083	6.54637	3.14747	10.0833	1.19374
g7517.t1	5.48886	2.91264	3.1869	0.422054	5.72276	4.28764	0.408617	0.981207
g1157.t1	9.7988	5.19911	2.87864	9.47498	6.93067	5.05225	0.648572	2.0744
g251.t1	9.76706	5.1813	10.0671	7.61398	11.9915	13.3904	2.69065	6.91705
g3666.t1	25.8856	13.7318	38.7138	27.5845	30.1053	28.8531	26.6602	24.9285
g6833.t1	57.4072	30.4498	35.3602	299.927	58.2082	34.2557	174.313	36.6251
g2770.t1	6.04093	3.20419	8.31715	5.22189	4.89161	5.18465	3.42196	4.01388
g9033.t1	21.8921	11.6116	18.981	21.6999	17.7636	35.6003	28.3437	20.1423
g8814.t1	10.8862	5.7732	20.5923	17.8883	14.4986	23.2885	17.8371	13.5981
g6718.t1	3.66937	1.94567	2.71718	7.39191	3.9798	4.22218	3.97167	0.612665
g491.t1	11.8179	6.26363	3.79435	10.2401	6.29277	4.78671	5.05911	1.9124
g2624.t1	4.72334	2.50276	4.06971	3.2422	2.35515	4.20369	2.92475	2.54881
g1659.t1	8.97659	4.75598	6.07302	7.82239	7.79544	8.73921	3.4469	6.11766
g2449.t1	12.3917	6.56328	13.6907	1.11574	16.1748	16.6856	1.2341	3.15532
g3573.t1	20.869	11.0513	18.9772	58.0727	21.963	47.4993	12.9939	8.40407
g2781.t1	3.75777	1.98926	6.31358	3.27117	5.40965	6.49215	3.09134	4.04388
g8182.t1	4.48044	2.37057	4.47048	4.55316	5.28545	6.51512	5.23151	1.93071
g5602.t1	6.72624	3.55863	3.43176	3.153	4.92719	4.46016	1.82338	0.80889
g540.t1	7.17682	3.79661	5.68113	4.911	11.4411	7.94754	5.7376	7.35199
g7181.t1	11.4145	6.03834	12.2474	5.24732	12.153	14.2705	4.56641	9.12178
g10215.t1	20.6732	10.9362	18.7449	67.2361	20.1516	26.719	56.1918	37.3955
g4845.t1	8.20239	4.33892	9.6307	13.2067	6.02778	13.0245	8.25559	10.0499
g3158.t1	6.95959	3.67992	4.65571	3.45678	5.24421	7.88171	2.22119	1.95555
g5567.t1	5.10761	2.69974	3.71588	0.417228	5.48344	4.72468	0.269239	2.14738
g9708.t1	6.45115	3.40979	5.39184	4.82394	5.79765	8.6306	5.51146	6.11205
g1700.t1	5.26599	2.78284	3.78257	0	4.76019	3.34467	0.395485	0.207371
g6084.t1	19.0833	10.0763	73.7417	42.2754	28.1439	46.1649	29.8198	48.8433
g1088.t1	7.18236	3.79166	4.54199	2.33409	7.78688	7.15886	3.59416	3.68774
g9833.t1	6.0039	3.16914	2.38831	1.87589	8.68117	12.0196	1.52855	1.11487
g9494.t1	6.11839	3.229	2.49934	2.41696	5.28046	5.34654	0.975809	3.98903
g7171.t1	7.08343	3.7378	4.80283	1.30152	7.20027	5.89659	2.99425	4.25309
g2568.t1	6.13463	3.23705	7.59387	5.62016	8.07211	12.5133	2.39648	3.25863
g2075.t1	23.3248	12.3075	15.3007	11.0319	15.604	28.6975	9.32752	15.5641
g1844.t1	17.8361	9.41134	22.2295	9.97815	9.30675	23.9134	23.1411	37.6544
g888.t1	12.1629	6.41698	5.1939	2.98835	7.71654	8.40144	1.41989	3.72894
g5357.t1	16.9334	8.93069	7.27946	19.675	14.6473	4.91898	8.84044	3.12699
g9689.t1	19.6067	10.339	11.0374	9.09042	17.8771	28.6377	5.63174	6.949
g3102.t1	5.44813	2.87271	9.77649	1.38516	6.7432	10.295	0.596883	10.345
g2881.t1	8.19824	4.32247	10.2069	3.14557	11.0351	18.4412	1.1849	1.06644
g8456.t1	16.3865	8.63727	9.60374	3.40135	8.2696	13.0959	1.33394	1.76367
